id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
93308704,2021-09-02,2021-09-02,,Guam,7547,aubreymoore,2021-09-01 23:02:44 UTC,2021-09-02 00:53:14 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/93308704,https://inaturalist-open-data.s3.amazonaws.com/photos/154631785/medium.jpeg,,"","Sample provided by Rick Lizama, Guam Department of Agriculture. Collected from a flame tree (*Delonix regia*) by his brother.

[ScaleNet page](http://scalenet.info/catalogue/Tachardina%20aurentiaca/)",0,0,false,,"Barrigada, Guam",13.470766,144.818131,4223,,,,4223,,,false,,,,,Barrigada,,Guam,,Lac Scales,Kerriidae,Lac Scales,Insecta,68693,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Sternorrhyncha,Coccoidea,Kerriidae,,,,,,,,,,,
101728666,2021-11-23 08:28:24,2021-11-23,2021-11-22 22:28:24 UTC,Guam,7547,aubreymoore,2021-11-22 22:30:05 UTC,2021-11-23 07:20:22 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/101728666,https://inaturalist-open-data.s3.amazonaws.com/photos/169924147/medium.jpeg,,"",,0,0,false,2,"Guam, GU",13.40736906,144.77911135,4,,,,4,,,false,,,,,Yona,,Guam,,Thyas regia,Thyas regia,,Arachnida,1312614,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Trombidiformes,Parasitengona,Hydryphantoidea,Hydryphantidae,,,,,Thyas,,Thyas regia,,,,
